0,1,2,3,4,5,6,7
2020-10-20T22:51:18.859753+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,0,0,sgpb
2020-10-20T22:51:19.266050+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234256923,mp2,czuexrqa
2020-10-20T22:51:20.215286+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,1603234279538,mp4,sgpb
2020-10-20T22:51:20.423296+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,1603234279743,mp4,sgpb
2020-10-20T22:51:20.532321+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234258193,mp3,czuexrqa
2020-10-20T22:51:20.598503+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,1603234279923,mp4,sgpb
2020-10-20T22:51:20.792917+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,1603234280110,mp4,sgpb
2020-10-20T22:51:20.942806+00:00,app[web.1]:,AB_TESTING:,B,1603234278165,1603234280265,mp4,sgpb
2020-10-20T22:51:21.610476+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234259268,mp4,czuexrqa
2020-10-20T22:51:22.459916+00:00,app[web.1]:,AB_TESTING:,C,1603234281776,0,0,sgpb
2020-10-20T22:51:23.294021+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234260952,mp3,czuexrqa
2020-10-20T22:51:24.608756+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234262270,mp2,czuexrqa
2020-10-20T22:51:25.264430+00:00,app[web.1]:,AB_TESTING:,A,1603234253337,1603234262921,mp1,czuexrqa
2020-10-20T22:51:27.558547+00:00,app[web.1]:,AB_TESTING:,C,1603234265221,0,0,czuexrqa
2020-10-20T22:51:29.319081+00:00,app[web.1]:,AB_TESTING:,A,1603234266975,0,0,czuexrqa
2020-10-20T22:51:31.469613+00:00,app[web.1]:,AB_TESTING:,A,1603234266975,1603234269131,mp4,czuexrqa
2020-10-20T22:51:32.887968+00:00,app[web.1]:,AB_TESTING:,C,1603234270542,0,0,czuexrqa
2020-10-20T22:51:33.975507+00:00,app[web.1]:,AB_TESTING:,A,1603234271627,0,0,czuexrqa
2020-10-20T22:51:34.845863+00:00,app[web.1]:,AB_TESTING:,A,1603234271627,1603234272503,mp2,czuexrqa
2020-10-20T22:51:35.524262+00:00,app[web.1]:,AB_TESTING:,A,1603234271627,1603234273176,mp1,czuexrqa
2020-10-20T22:51:37.387554+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,0,0,izwquex
2020-10-20T22:51:37.949604+00:00,app[web.1]:,AB_TESTING:,C,1603234275605,0,0,czuexrqa
2020-10-20T22:51:38.477925+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234259222,mp1,izwquex
